pid,gender_DEMO,race_DEMO,orientation_heterosexual_DEMO,student_international_DEMO,student_1stGen_DEMO,college_engineer_DEMO,parent_edu_mother_DEMO,parent_edu_father_DEMO,generation_DEMO
INS-W_047,1,Asian,1,1,0,0,0,0,1
INS-W_048,1,Asian,1,0,1,1,0,0,0
INS-W_049,1,Asian,1,0,0,0,0,0,0
INS-W_050,2,Asian,1,0,1,1,0,0,0
INS-W_051,2,Biracial,1,0,0,0,0,0,0
INS-W_052,2,Biracial,1,0,0,0,1,1,1
INS-W_053,2,Black,1,0,1,0,0,0,0
INS-W_054,1,Asian,1,1,0,0,1,0,1
INS-W_055,2,Biracial,1,0,0,1,0,1,1
INS-W_056,2,Latinx,1,0,1,0,0,0,0
INS-W_057,1,Asian,1,0,0,1,0,0,0
INS-W_058,2,White,1,0,0,0,1,0,0
INS-W_059,2,Asian,1,0,0,1,0,0,0
INS-W_060,1,Biracial,1,0,1,0,0,0,1
INS-W_061,2,Biracial,1,,,1,0,1,0
INS-W_062,2,Biracial,0,0,0,0,1,1,0
INS-W_063,2,Latinx,1,0,1,1,0,0,0
INS-W_064,2,White,1,0,0,0,1,1,0
INS-W_065,1,White,1,0,0,0,1,1,0
INS-W_066,1,White,1,0,0,1,1,1,0
INS-W_067,2,Asian,1,0,0,0,0,1,0
INS-W_068,2,Biracial,1,0,0,0,1,0,0
INS-W_069,2,Biracial,1,0,0,0,0,0,0
INS-W_070,1,Biracial,1,0,0,1,0,0,0
INS-W_071,1,White,1,0,0,0,1,0,0
INS-W_072,2,White,0,0,0,0,0,0,0
INS-W_073,2,White,1,0,0,0,0,0,0
INS-W_074,2,White,1,0,0,0,0,1,1
INS-W_075,2,White,0,0,0,1,0,0,0
INS-W_076,1,Asian,1,0,0,0,1,1,0
INS-W_077,2,Biracial,1,0,0,0,0,0,0
INS-W_078,2,White,1,0,1,0,0,0,1
INS-W_079,2,Asian,1,0,0,0,0,0,0
INS-W_080,2,Asian,1,0,1,0,0,0,1
INS-W_081,2,Asian,1,0,0,0,1,1,0
INS-W_082,2,Asian,1,0,1,0,0,0,1
INS-W_083,2,White,1,0,0,0,1,1,1
INS-W_084,2,Asian,0,0,1,0,0,0,0
INS-W_085,4,White,0,0,1,1,0,0,0
INS-W_086,2,Asian,1,0,1,0,0,0,0
INS-W_087,2,White,1,0,0,0,1,1,0
INS-W_088,1,White,1,0,0,1,0,0,0
INS-W_089,2,Asian,1,0,1,0,0,0,1
INS-W_090,1,Biracial,1,0,1,1,0,0,0
INS-W_091,2,Asian,1,0,0,0,0,0,1
INS-W_092,2,White,1,0,0,1,0,0,0
INS-W_093,2,White,0,0,0,1,0,0,0
INS-W_094,2,Black,1,0,1,0,0,0,1
INS-W_095,1,White,1,0,0,0,0,0,1
INS-W_096,2,White,1,0,1,0,0,0,0
INS-W_097,1,Biracial,1,0,0,0,0,0,0
INS-W_098,2,Asian,1,0,1,0,0,0,1
INS-W_099,1,Asian,1,0,0,0,0,0,0
INS-W_100,2,White,1,0,0,0,0,0,0
INS-W_101,2,Biracial,1,0,0,1,0,0,0
INS-W_102,2,Biracial,1,0,0,0,1,0,0
INS-W_103,2,Asian,1,0,0,1,1,1,1
INS-W_104,1,Latinx,1,,1,1,0,0,1
INS-W_105,2,Asian,1,0,1,1,0,0,1
INS-W_106,2,Black,1,0,0,1,0,0,0
INS-W_107,1,Black,1,0,0,1,1,1,0
INS-W_108,2,Asian,1,0,1,1,0,0,0
INS-W_109,2,Asian,1,1,0,0,0,1,1
INS-W_110,1,Asian,1,1,,0,0,0,1
INS-W_111,2,Biracial,1,0,0,0,0,0,0
INS-W_112,2,Biracial,1,0,1,1,0,0,1
INS-W_113,2,Biracial,1,0,0,0,0,0,0
INS-W_114,2,Asian,1,0,1,0,0,0,0
INS-W_115,2,White,1,0,0,0,0,0,0
INS-W_116,2,Asian,1,0,0,0,1,1,0
INS-W_117,2,Asian,1,0,1,0,0,0,0
INS-W_118,2,White,1,0,0,1,0,0,0
INS-W_119,2,Asian,1,0,0,0,0,1,0
INS-W_120,1,Asian,0,0,0,1,0,1,0
INS-W_121,2,White,1,0,0,0,0,0,0
INS-W_122,2,Asian,1,0,0,0,0,0,0
INS-W_123,2,Asian,1,1,0,0,0,0,1
INS-W_124,2,Biracial,1,0,0,0,0,0,0
INS-W_125,2,Asian,1,,1,0,0,0,0
INS-W_126,2,White,0,0,0,0,0,0,0
INS-W_127,2,Biracial,1,0,0,1,0,0,0
INS-W_128,2,White,1,0,0,0,0,0,0
INS-W_129,,,0,0,1,1,0,0,1
INS-W_130,2,White,1,0,0,0,0,1,0
INS-W_131,2,White,1,0,0,0,1,1,1
INS-W_132,2,Black,1,0,1,1,0,0,0
INS-W_133,1,Asian,0,0,0,0,0,0,0
INS-W_134,1,Asian,1,0,0,0,0,1,1
INS-W_135,2,Biracial,1,0,1,1,0,0,0
INS-W_136,2,White,1,0,0,0,0,0,0
INS-W_137,2,Latinx,0,0,1,1,0,0,0
INS-W_138,1,Asian,0,0,0,0,0,1,0
INS-W_139,1,Asian,1,0,1,1,0,0,1
INS-W_140,1,Asian,1,1,0,1,1,0,1
INS-W_141,2,White,1,0,0,1,0,0,0
INS-W_142,2,Asian,1,0,0,0,0,0,0
INS-W_143,1,White,0,0,0,0,0,1,0
INS-W_144,2,Asian,0,0,1,1,0,0,1
INS-W_145,1,Asian,0,0,0,0,0,0,0
INS-W_146,2,White,0,0,0,1,1,0,0
INS-W_147,2,Asian,1,0,0,0,1,1,1
INS-W_148,2,Latinx,1,0,0,1,0,0,0
INS-W_149,2,Latinx,1,0,1,1,0,0,0
INS-W_150,1,Latinx,1,0,1,1,0,0,1
INS-W_151,2,Biracial,1,0,0,0,1,1,0
INS-W_152,1,Biracial,1,0,0,1,1,1,0
INS-W_153,2,White,1,0,0,1,1,1,0
INS-W_154,1,White,1,0,1,1,0,0,0
INS-W_155,2,Asian,1,0,0,1,0,0,1
INS-W_156,1,Asian,1,0,0,1,0,0,0
INS-W_157,2,Asian,1,0,0,1,0,1,0
INS-W_158,2,Asian,1,0,0,1,0,0,1
INS-W_159,1,Black,1,0,0,1,0,1,0
INS-W_160,1,White,1,0,0,1,0,0,0
INS-W_161,2,Asian,1,1,1,1,0,0,1
INS-W_162,1,Asian,1,1,,1,0,0,1
INS-W_163,1,White,0,0,1,0,0,0,0
INS-W_164,1,Asian,1,0,0,1,1,1,0
INS-W_165,2,White,1,0,0,0,1,0,0
INS-W_166,2,White,1,0,0,0,0,0,0
INS-W_167,2,White,1,0,0,0,0,0,0
INS-W_168,2,Asian,1,0,1,1,0,0,0
INS-W_169,2,Latinx,1,0,1,1,0,0,1
INS-W_170,2,Asian,1,1,0,0,0,1,1
INS-W_171,2,White,1,0,0,0,1,1,0
INS-W_172,2,Asian,1,,,1,0,0,1
INS-W_173,2,White,1,0,0,1,0,0,1
INS-W_174,2,Asian,1,0,1,1,0,0,0
INS-W_175,2,Asian,1,0,0,0,1,1,0
INS-W_176,2,Asian,1,0,1,1,0,0,0
INS-W_177,1,White,1,0,0,0,1,1,0
INS-W_178,1,Asian,1,1,0,1,0,1,0
INS-W_179,2,Asian,0,0,0,1,1,1,0
INS-W_180,2,Biracial,1,0,0,0,1,0,0
INS-W_181,1,Asian,1,0,0,1,0,1,0
INS-W_182,1,Latinx,1,0,1,1,0,0,0
INS-W_183,1,Asian,1,1,0,1,0,0,1
INS-W_184,1,White,1,0,0,0,0,0,0
INS-W_185,1,Biracial,1,0,1,1,0,0,0
INS-W_186,1,Asian,1,1,1,1,0,0,1
INS-W_187,1,Black,1,0,0,1,1,0,0
INS-W_188,2,Asian,1,1,0,0,0,0,1
INS-W_189,1,Asian,1,0,1,1,0,0,1
INS-W_190,1,White,1,0,0,0,1,1,0
INS-W_191,2,Biracial,1,0,0,1,0,0,0
INS-W_192,2,White,1,0,0,0,0,0,0
INS-W_193,2,White,1,0,0,1,0,1,0
INS-W_194,1,Asian,1,0,0,0,1,1,0
INS-W_195,2,White,0,0,0,1,0,0,0
INS-W_196,1,Latinx,1,0,1,1,0,0,0
INS-W_197,1,Latinx,1,0,0,1,0,0,1
INS-W_198,2,White,1,0,0,0,0,0,0
INS-W_199,2,Asian,1,0,0,0,1,1,0
INS-W_200,1,Asian,1,0,0,1,1,1,0
INS-W_201,1,Asian,1,0,1,1,0,0,0
INS-W_202,1,White,0,0,0,1,1,1,0
INS-W_203,1,White,1,0,0,1,1,1,0
INS-W_204,2,Asian,1,0,1,1,0,0,0
INS-W_205,1,White,1,0,0,1,0,0,0
INS-W_206,1,Latinx,1,0,1,1,0,0,0
INS-W_207,1,White,1,0,0,0,1,0,0
INS-W_208,1,Asian,1,0,0,0,1,1,0
INS-W_209,1,Asian,0,0,1,0,0,0,1
